token,form count,
ανδρες,23,ανηρ
γυναικα,10,γυνη
οικιαν,7,οικια
γνωμην,5,γνωμη
νομους,5,νομος
πολεως,5,πολις
αγρου,4,αγρος
δικην,4,δικη
ζημιας,4,ζημια
θεραπαιναν,4,θεραπαινα
νυκτι,4,νυξ
παιδιον,4,παιδιον
τιμωριαν,4,τιμωρια
αγοραν,3,αγορα
ανθρωπος,3,ανθρωπος
γυναικας,3,γυνη
γυνη,3,γυνη
θανατον,3,θανατος
θυραν,3,θυρα
μοιχον,3,μοιχος
νομον,3,νομος
παιδας,3,παις
πραγματος,3,πραγμα
χρονου,3,χρονος
αδειαν,2,αδεια
ανθρωποι,2,ανθρωπος
ανθρωπον,2,ανθρωπος
ανθρωπου,2,ανθρωπος
βια,2,βια
βλαβην,2,βλαβη
γαμεταις,2,γαμετη
δικας,2,δικη
εκφοραν,2,εκφορα
ηλιου,2,ηλιος
ημερα,2,ημερα
ημεραν,2,ημερα
θυρας,2,θυρα
λογων,2,λογος
μαρτυρες,2,μαρτυς
μαρτυρων,2,μαρτυς
μητηρ,2,μητηρ
νομοι,2,νομος
νομοις,2,νομος
οικιας,2,οικια
πολει,2,πολις
πραγματων,2,πραγμα
σιωπη,2,σιωπη
συγγνωμης,2,συγγνωμη
τιτθον,2,τιτθον
υποψιας,2,υποψια
χειρε,2,χειρ
χρηματα,2,χρημα
χρηματων,2,χρημα
χρονον,2,χρονος
